Date,Type,region,number,change,growth,log_RR,country
2020-03-16,hospitalized,Hele landet,62,,,,Denmark
2020-03-17,hospitalized,Hele landet,82,20,0.3225806451612903,0.12142216288546279,Denmark
2020-03-18,hospitalized,Hele landet,129,47,0.573170731707317,0.1967758579155323,Denmark
2020-03-19,hospitalized,Hele landet,153,24,0.18604651162790697,0.0741017205183498,Denmark
2020-03-20,hospitalized,Hele landet,186,33,0.21568627450980393,0.08482151340031756,Denmark
2020-03-21,hospitalized,Hele landet,206,20,0.10752688172043011,0.04435427615123705,Denmark
2020-03-22,hospitalized,Hele landet,232,26,0.1262135922330097,0.05162076452174625,Denmark
2020-03-23,hospitalized,Hele landet,254,22,0.09482758620689655,0.039345731729038394,Denmark
2020-03-24,hospitalized,Hele landet,301,47,0.18503937007874016,0.07373277897390534,Denmark
2020-03-25,hospitalized,Hele landet,350,49,0.16279069767441862,0.0655015487564323,Denmark
2020-03-26,hospitalized,Hele landet,386,36,0.10285714285714286,0.04251926032147928,Denmark
2020-03-27,hospitalized,Hele landet,430,44,0.11398963730569948,0.046881150907831556,Denmark
2020-03-28,hospitalized,Hele landet,459,29,0.06744186046511629,0.028344229957674744,Denmark
2020-03-29,hospitalized,Hele landet,499,40,0.08714596949891068,0.0362878600861287,Denmark
2020-03-30,hospitalized,Hele landet,533,34,0.06813627254509018,0.02862666340318238,Denmark
2020-03-31,hospitalized,Hele landet,529,-4,-0.0075046904315197,-0.0032715369913865013,Denmark
2020-04-01,hospitalized,Hele landet,535,6,0.011342155009451797,0.004898109986042735,Denmark
2020-04-02,hospitalized,Hele landet,531,-4,-0.007476635514018692,-0.0032592609397593714,Denmark
2020-04-03,hospitalized,Hele landet,516,-15,-0.02824858757062147,-0.012444819454257693,Denmark
2020-04-04,hospitalized,Hele landet,503,-13,-0.025193798449612403,-0.011081716571283977,Denmark
2020-04-05,hospitalized,Hele landet,498,-5,-0.009940357852882704,-0.004338642296209868,Denmark
2020-04-06,hospitalized,Hele landet,497,-1,-0.002008032128514056,-8.729540263854303e-4,Denmark
2020-04-07,hospitalized,Hele landet,472,-25,-0.05030181086519115,-0.02241439009924434,Denmark
2020-04-08,hospitalized,Hele landet,453,-19,-0.04025423728813559,-0.017843796621255903,Denmark
2020-03-16,intensive,Hele landet,10,,,,Denmark
2020-03-17,intensive,Hele landet,18,8,0.8,0.25527250510330607,Denmark
2020-03-18,intensive,Hele landet,24,6,0.3333333333333333,0.12493873660829992,Denmark
2020-03-19,intensive,Hele landet,30,6,0.25,0.09691001300805642,Denmark
2020-03-20,intensive,Hele landet,37,7,0.23333333333333334,0.09108046934733258,Denmark
2020-03-21,intensive,Hele landet,42,5,0.13513513513513514,0.05504756633090544,Denmark
2020-03-22,intensive,Hele landet,46,4,0.09523809523809523,0.03950854128367365,Denmark
2020-03-23,intensive,Hele landet,55,9,0.1956521739130435,0.07760485781266976,Denmark
2020-03-24,intensive,Hele landet,69,14,0.2545454545454545,0.09848640124301143,Denmark
2020-03-25,intensive,Hele landet,87,18,0.2608695652173913,0.10067016188136323,Denmark
2020-03-26,intensive,Hele landet,94,7,0.08045977011494253,0.03360860098108014,Denmark
2020-03-27,intensive,Hele landet,109,15,0.1595744680851064,0.06429864434092496,Denmark
2020-03-28,intensive,Hele landet,121,12,0.11009174311926606,0.04535887237582645,Denmark
2020-03-29,intensive,Hele landet,131,10,0.08264462809917356,0.03448592533931416,Denmark
2020-03-30,intensive,Hele landet,137,6,0.04580152671755725,0.01944927150064254,Denmark
2020-03-31,intensive,Hele landet,145,8,0.058394160583941604,0.024647435078568095,Denmark
2020-04-01,intensive,Hele landet,146,1,0.006896551724137931,0.00298485354946221,Denmark
2020-04-02,intensive,Hele landet,146,0,0,0,Denmark
2020-04-03,intensive,Hele landet,139,-7,-0.04794520547945205,-0.021338055530342,Denmark
2020-04-04,intensive,Hele landet,138,-1,-0.007194244604316547,-0.0031357138528585494,Denmark
2020-04-05,intensive,Hele landet,138,0,0,0,Denmark
2020-04-06,intensive,Hele landet,133,-5,-0.036231884057971016,-0.01602744543415074,Denmark
2020-04-07,intensive,Hele landet,127,-6,-0.045112781954887216,-0.020047920011128928,Denmark
2020-04-08,intensive,Hele landet,127,0,0,0,Denmark
2020-03-16,respirator,Hele landet,0,,,,Denmark
2020-03-17,respirator,Hele landet,4,4,Inf,Inf,Denmark
2020-03-18,respirator,Hele landet,18,14,3.5,0.6532125137753437,Denmark
2020-03-19,respirator,Hele landet,27,9,0.5,0.17609125905568124,Denmark
2020-03-20,respirator,Hele landet,32,5,0.18518518518518517,0.07378621416091864,Denmark
2020-03-21,respirator,Hele landet,35,3,0.09375,0.03891806603036966,Denmark
2020-03-22,respirator,Hele landet,40,5,0.14285714285714285,0.05799194697768673,Denmark
2020-03-23,respirator,Hele landet,47,7,0.175,0.07003786660775509,Denmark
2020-03-24,respirator,Hele landet,58,11,0.23404255319148937,0.09133013562721981,Denmark
2020-03-25,respirator,Hele landet,76,18,0.3103448275862069,0.11738559871785405,Denmark
2020-03-26,respirator,Hele landet,78,2,0.02631578947368421,0.011281010409689084,Denmark
2020-03-27,respirator,Hele landet,89,11,0.14102564102564102,0.05729540395443236,Denmark
2020-03-28,respirator,Hele landet,104,15,0.16853932584269662,0.06764333265386756,Denmark
2020-03-29,respirator,Hele landet,113,9,0.08653846153846154,0.03604510418463933,Denmark
2020-03-30,respirator,Hele landet,119,6,0.05309734513274336,0.022468517909111068,Denmark
2020-03-31,respirator,Hele landet,131,12,0.10084033613445378,0.041724334263233534,Denmark
2020-04-01,respirator,Hele landet,128,-3,-0.022900763358778626,-0.010061326007895912,Denmark
2020-04-02,respirator,Hele landet,124,-4,-0.03125,-0.013788284485633295,Denmark
2020-04-03,respirator,Hele landet,122,-2,-0.016129032258064516,-0.007061854487486834,Denmark
2020-04-04,respirator,Hele landet,116,-6,-0.04918032786885246,-0.021901841447829775,Denmark
2020-04-05,respirator,Hele landet,111,-5,-0.04310344827586207,-0.019135010440261058,Denmark
2020-04-06,respirator,Hele landet,110,-1,-0.009009009009009009,-0.003930293628432402,Denmark
2020-04-07,respirator,Hele landet,103,-7,-0.06363636363636363,-0.02855546045305282,Denmark
2020-04-08,respirator,Hele landet,103,0,0,0,Denmark
